"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","estudio","wc2","rooms2","log_price","terraza_balcon"
"21",88653690,"Alquiler de Piso en El Raval","Ciutat Vella, Barcelona","||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",800,890,55,1,1,0,1,"segunda mano/buen estado",NA,1,1,1,2,0,0,1,1,"||aire acondicionado||||en trámite|||",8001,"Anuncio actualizado hace 6 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.68461172766793,1
"22",98238823,"Alquiler de Estudio en calle dels Tallers","El Raval, Barcelona","Calle dels Tallers||Urb. Ciutat vella||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle dels Tallers","Urb. Ciutat vella","Barrio El Raval","Barrio El Raval","Barcelona",1675,1675,149,0,1,0,1,"segunda mano/buen estado",NA,0,0,0,3,0,1,1,1,"||aire acondicionado||||inmueble exento|||",8001,"Anuncio actualizado hace 4 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,1,"1","1",7.42356844425917,1
"23",97801206,"Alquiler de Piso en calle de la Reina Amàlia, 9","El Raval, Barcelona","Calle de la Reina Amàlia, 9||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Reina Amàlia, 9","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1800,2000,80,2,2,1,1,"segunda mano/buen estado",2021,0,1,1,2,1,1,0,1,"||aire acondicionado|||piscina|||zonas verdes||||consumo: |35 kwh/m² año|||emisiones: |6 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 5 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","2",7.49554194388426,1
"24",98830628,"Alquiler de Piso en calle de la Cera","El Raval, Barcelona","Calle de la Cera||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de la Cera","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1380,1380,85,4,1,0,1,"segunda mano/buen estado",NA,1,1,1,4,1,0,1,1,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 4 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","4 or more",7.22983877815125,1
"25",99563438,"Alquiler de Piso en calle de Sant Martí","El Raval, Barcelona","Calle de Sant Martí||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Sant Martí","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",750,750,41,1,1,0,1,"segunda mano/buen estado",NA,1,1,0,0,1,1,1,1,"||aire acondicionado||||consumo: |56 kwh/m² año|||emisiones: |268 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 2 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.62007320653036,1
"26",31611492,"Alquiler de Piso en calle de guàrdia","El Raval, Barcelona","Calle de guàrdia||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de guàrdia","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1400,1400,70,3,2,0,1,"segunda mano/buen estado",NA,0,1,1,2,0,1,1,1,"||aire acondicionado||||consumo: |120 kwh/m² año|||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 4 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"2","3",7.24422751560335,1
"27",90264538,"Alquiler de Estudio en calle dels salvadors, 5","El Raval, Barcelona","Calle dels salvadors, 5||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle dels salvadors, 5","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",900,900,48,0,1,0,0,"segunda mano/buen estado",NA,0,1,1,0,1,0,1,0,"||aire acondicionado||||consumo: ||||emisiones: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 9 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,1,"1","1",6.80239476332431,0
"28",91310338,"Alquiler de Piso en plaza de la Gardunya","El Raval, Barcelona","Plaza de la Gardunya||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Plaza de la Gardunya","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1800,1900,70,2,1,1,1,"segunda mano/buen estado",2019,1,1,1,5,1,1,1,1,"||aire acondicionado||||consumo: |46,7 kwh/m² año|||emisiones: |8,17 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 5 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","2",7.49554194388426,1
"29",40401990,"Alquiler de Estudio en calle del Tigre","El Raval, Barcelona","Calle del Tigre||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle del Tigre","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",1050,1050,44,0,1,0,1,"segunda mano/buen estado",NA,0,1,1,3,1,1,1,1,"||aire acondicionado||||consumo: ||||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8001,"Anuncio actualizado hace 10 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,1,"1","1",6.95654544315157,1
"30",99537483,"Alquiler de Piso en calle de Sant Pau","El Raval, Barcelona","Calle de Sant Pau||Barrio El Raval||Distrito Ciutat Vella||Barcelona||Área de Barcelona, Barcelona","Calle de Sant Pau","Barrio El Raval","Barrio El Raval","Distrito Ciutat Vella","Área de Barcelona, Barcelona",760,760,41,1,1,0,1,"segunda mano/buen estado",NA,1,1,1,2,0,1,1,1,"||aire acondicionado||||en trámite|||",8001,"Anuncio actualizado hace 5 horas","Anuncio actualizado el 16 de noviembre","2022-11-16","Distrito Ciutat Vella","raval","raval","raval",0,0,"1","1",6.63331843328038,1
