"","id","name","zone","ubicacion_full","calle","barrio","barrio2","distrito","area","price","price_before","square_mt","rooms","wc","terraza","balcon","estado","año","armarios","cocina","amueblado","planta","calef","asc","aire","exterior","datalles2","cp","actualizacion","actualizacion2","extract_day","distrito2","regex_barris","key_open","key_shp","casa","lujo","estudio","wc2","rooms2","log_price","terraza_balcon","flag_planta","new_planta"
"3325",100969678,"Alquiler de Dúplex en plaza de Fernando de los Ríos","La Verneda i la Pau, Barcelona","Plaza de Fernando de los Ríos|Barrio La Verneda i la Pau|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Plaza de Fernando de los Ríos","Barrio La Verneda i la Pau","Barrio La Verneda i la Pau","Distrito Sant Martí","Área de Barcelona, Barcelona",1500,1500,115,4,2,1,0,"segunda mano/buen estado",NA,1,1,1,"planta 7",1,1,0,1,"||en trámite|||",8020,"Anuncio actualizado hace 2 días","Anuncio actualizado el 1 de mayo","2023-05-03","Distrito Sant Martí","verneda pau","verneda pau","verneda pau","0","0","0","2","4 o mas",7.3132203870903,1,0,7
"3326",100965224,"Alquiler de Piso en Cantabria","La Verneda i la Pau, Barcelona","CANTABRIA|Barrio La Verneda i la Pau|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","CANTABRIA","Barrio La Verneda i la Pau","Barrio La Verneda i la Pau","Distrito Sant Martí","Área de Barcelona, Barcelona",1100,1100,74,3,1,0,1,"segunda mano/buen estado",1971,1,1,1,"planta 7",0,1,0,1,"||consumo: |137 kwh/m² año|||emisiones: |28 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace 57 minutos","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sant Martí","verneda pau","verneda pau","verneda pau","0","0","0","1","3",7.00306545878646,1,0,7
"3327",39824275,"Alquiler de Piso en arriassa","La Verneda i la Pau, Barcelona","arriassa|Barrio La Verneda i la Pau|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","arriassa","Barrio La Verneda i la Pau","Barrio La Verneda i la Pau","Distrito Sant Martí","Área de Barcelona, Barcelona",800,800,57,2,1,0,0,"segunda mano/buen estado",1946,1,1,1,"planta 8",1,1,1,1,"||aire acondicionado||||consumo: |237 kwh/m² año|||emisiones: |49 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace 5 días","Anuncio actualizado el 28 de abril","2023-05-03","Distrito Sant Martí","verneda pau","verneda pau","verneda pau","0","0","0","1","2",6.68461172766793,0,0,8
"3328",100925745,"Alquiler de Piso en calle del Camp Arriassa, 7","La Verneda i la Pau, Barcelona","Calle del Camp Arriassa, 7|Barrio La Verneda i la Pau|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Calle del Camp Arriassa, 7","Barrio La Verneda i la Pau","Barrio La Verneda i la Pau","Distrito Sant Martí","Área de Barcelona, Barcelona",1300,1300,90,4,2,1,0,"segunda mano/buen estado",NA,0,1,1,"planta 1",1,0,0,0,"||aire acondicionado|||zonas verdes||||en trámite|||",8020,"Anuncio actualizado hace más de 2 meses","Anuncio actualizado el 25 de marzo","2023-05-03","Distrito Sant Martí","verneda pau","verneda pau","verneda pau","0","0","0","2","4 o mas",7.17011954344963,1,0,1
"3329",101018072,"Alquiler de Piso en Gran Via de les Corts Catalanes","Sant Martí de Provençals, Barcelona","Gran Via de les Corts Catalanes|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Gran Via de les Corts Catalanes","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1200,1200,86,3,2,0,1,"segunda mano/buen estado",1975,0,1,0,"planta 5",0,1,0,1,"||en trámite|||",8020,"Anuncio actualizado hace una hora","Anuncio actualizado el 3 de mayo","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","2","3",7.09007683577609,1,0,5
"3330",101041085,"Alquiler de Piso en calle de Guipúscoa","Sant Martí de Provençals, Barcelona","Calle de Guipúscoa|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Calle de Guipúscoa","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1050,1050,65,2,1,0,0,"segunda mano/buen estado",NA,0,0,0,"planta 10",0,1,0,1,"||consumo: |999 kwh/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace 6 días","Anuncio actualizado el 27 de abril","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","1","2",6.95654544315157,0,0,10
"3331",100946696,"Alquiler de Piso en rambla de Guipúzcoa","Sant Martí de Provençals, Barcelona","Rambla de Guipúzcoa|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Rambla de Guipúzcoa","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1050,1050,66,2,1,0,0,"segunda mano/buen estado",NA,0,1,1,"planta 10",1,1,1,1,"||aire acondicionado||||consumo: |235 kwh/m² año|||emisiones: |49 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace más de 2 meses","Anuncio actualizado el 28 de marzo","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","1","2",6.95654544315157,0,0,10
"3332",101203699,"Alquiler de Piso en Provençals del Poblenou","Sant Martí, Barcelona","|Barrio Provençals del Poblenou|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","","Barrio Provençals del Poblenou","Barrio Provençals del Poblenou","Distrito Sant Martí","Área de Barcelona, Barcelona",1300,1300,93,3,1,1,0,"segunda mano/buen estado",1982,0,0,0,"planta 10",1,1,1,1,"||aire acondicionado||||consumo: |207 kwh/m² año|||emisiones: |39 kg co2/m² año|||ver etiqueta de calificación energética|ocultar etiqueta|||||||",8020,"Anuncio actualizado hace 23 horas","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Sant Martí","provençals poblenou","provençals poblenou","provençals poblenou","0","0","0","1","3",7.17011954344963,1,0,10
"3333",86559425,"Alquiler de Piso en calle de Huelva, 106","Sant Martí de Provençals, Barcelona","Calle de Huelva, 106|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","Calle de Huelva, 106","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1250,1250,103,4,1,0,1,"segunda mano/buen estado",NA,0,1,1,"planta 7",1,1,1,1,"||aire acondicionado||||no indicado|||",8020,"Anuncio actualizado hace un día","Anuncio actualizado el 2 de mayo","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","1","4 o mas",7.13089883029635,1,0,7
"3334",1055025,"Alquiler de Piso en Sant Martí de Provençals","Sant Martí, Barcelona","|Barrio Sant Martí de Provençals|Distrito Sant Martí|Barcelona|Área de Barcelona, Barcelona","","Barrio Sant Martí de Provençals","Barrio Sant Martí de Provençals","Distrito Sant Martí","Área de Barcelona, Barcelona",1800,1800,70,3,1,0,1,"segunda mano/buen estado",NA,0,1,1,"planta 4",0,1,0,1,"||en trámite|||",8020,"Anuncio actualizado hace 7 días","Anuncio actualizado el 25 de abril","2023-05-03","Distrito Sant Martí","sant martí provençals","sant martí provençals","sant martí provençals","0","0","0","1","3",7.49554194388426,1,0,4
